Job_ID,Start_Time,End_Time,CPU_Allocated,GPU_Allocated,CPU_Ratio,GPU_Ratio
203,85.0,,128,4,1.0000,0.2500
204,40.0,,128,0,1.0000,0.0000
205,40.0,,128,2,1.0000,0.1250
206,40.0,,128,0,1.0000,0.0000
207,40.0,,128,4,1.0000,0.2500
208,128.0,,128,1,1.0000,0.0625
209,128.0,,128,1,1.0000,0.0625
210,128.0,,128,2,1.0000,0.1250
211,126.0,,128,4,1.0000,0.2500
212,126.0,,128,1,1.0000,0.0625
213,65.0,,128,0,1.0000,0.0000
214,44.0,,128,1,1.0000,0.0625
215,44.0,,128,4,1.0000,0.2500
216,69.0,,128,0,1.0000,0.0000
217,69.0,,128,2,1.0000,0.1250
218,69.0,,128,2,1.0000,0.1250
219,69.0,,128,4,1.0000,0.2500
220,104.0,,128,2,1.0000,0.1250
221,104.0,,128,1,1.0000,0.0625
222,74.0,,128,1,1.0000,0.0625
223,74.0,,128,4,1.0000,0.2500
224,66.0,,128,4,1.0000,0.2500
225,66.0,,128,4,1.0000,0.2500
226,66.0,,128,1,1.0000,0.0625
227,66.0,,128,0,1.0000,0.0000
228,15.0,,128,2,1.0000,0.1250
229,15.0,,128,1,1.0000,0.0625
230,15.0,,128,4,1.0000,0.2500
231,61.0,,128,1,1.0000,0.0625
232,61.0,,128,2,1.0000,0.1250
233,111.0,,128,2,1.0000,0.1250
234,111.0,,128,4,1.0000,0.2500
235,92.0,,128,4,1.0000,0.2500
236,92.0,,128,4,1.0000,0.2500
237,97.0,,128,0,1.0000,0.0000
238,97.0,,128,2,1.0000,0.1250
239,103.0,,128,2,1.0000,0.1250
240,103.0,,128,2,1.0000,0.1250
241,103.0,,128,0,1.0000,0.0000
242,60.0,,128,0,1.0000,0.0000
243,60.0,,128,0,1.0000,0.0000
244,112.0,,128,4,1.0000,0.2500
245,21.0,,128,1,1.0000,0.0625
246,21.0,,128,2,1.0000,0.1250
247,123.0,,128,4,1.0000,0.2500
248,29.0,,128,2,1.0000,0.1250
249,29.0,,128,2,1.0000,0.1250
250,12.0,,128,1,1.0000,0.0625
251,12.0,,128,4,1.0000,0.2500
252,58.0,,128,4,1.0000,0.2500
253,58.0,,128,0,1.0000,0.0000
254,58.0,,128,4,1.0000,0.2500
255,103.0,,128,4,1.0000,0.2500
256,103.0,,128,1,1.0000,0.0625
257,103.0,,128,1,1.0000,0.0625
258,49.0,,128,1,1.0000,0.0625
259,49.0,,128,0,1.0000,0.0000
260,43.0,,128,1,1.0000,0.0625
261,43.0,,128,2,1.0000,0.1250
262,43.0,,128,2,1.0000,0.1250
263,44.0,,128,2,1.0000,0.1250
264,86.0,,128,4,1.0000,0.2500
265,86.0,,128,1,1.0000,0.0625
266,46.0,,128,2,1.0000,0.1250
267,46.0,,128,1,1.0000,0.0625
268,46.0,,128,2,1.0000,0.1250
269,98.0,,128,4,1.0000,0.2500
270,98.0,,128,0,1.0000,0.0000
271,51.0,,128,1,1.0000,0.0625
272,51.0,,128,1,1.0000,0.0625
273,51.0,,128,4,1.0000,0.2500
274,116.0,,128,4,1.0000,0.2500
275,116.0,,128,2,1.0000,0.1250
276,95.0,,128,4,1.0000,0.2500
277,115.0,,128,0,1.0000,0.0000
278,94.0,,128,2,1.0000,0.1250
279,94.0,,128,0,1.0000,0.0000
280,94.0,,128,4,1.0000,0.2500
281,71.0,,128,4,1.0000,0.2500
282,40.0,,128,0,1.0000,0.0000
283,40.0,,128,0,1.0000,0.0000
284,40.0,,128,2,1.0000,0.1250
285,37.0,,128,2,1.0000,0.1250
286,124.0,,128,0,1.0000,0.0000
287,124.0,,128,2,1.0000,0.1250
288,93.0,,128,2,1.0000,0.1250
289,93.0,,128,4,1.0000,0.2500
290,93.0,,128,0,1.0000,0.0000
291,10.0,,128,1,1.0000,0.0625
292,10.0,,128,0,1.0000,0.0000
293,35.0,,128,1,1.0000,0.0625
294,120.0,,128,4,1.0000,0.2500
295,46.0,,128,0,1.0000,0.0000
296,67.0,,128,4,1.0000,0.2500
297,67.0,,128,4,1.0000,0.2500
298,59.0,,128,2,1.0000,0.1250
299,108.0,,128,4,1.0000,0.2500
300,108.0,,128,2,1.0000,0.1250
301,46.0,,128,0,1.0000,0.0000
302,94.0,,128,0,1.0000,0.0000
303,94.0,,128,0,1.0000,0.0000
304,94.0,,128,0,1.0000,0.0000
305,94.0,,128,2,1.0000,0.1250
306,15.0,,128,2,1.0000,0.1250
307,15.0,,128,2,1.0000,0.1250
308,15.0,,128,4,1.0000,0.2500
309,37.0,,128,2,1.0000,0.1250
310,37.0,,128,2,1.0000,0.1250
311,37.0,,128,0,1.0000,0.0000
312,58.0,,128,4,1.0000,0.2500
313,48.0,,128,0,1.0000,0.0000
314,48.0,,128,2,1.0000,0.1250
315,33.0,,128,1,1.0000,0.0625
316,11.0,,128,2,1.0000,0.1250
317,11.0,,128,0,1.0000,0.0000
318,82.0,,128,4,1.0000,0.2500
319,108.0,,128,0,1.0000,0.0000
320,93.0,,128,4,1.0000,0.2500
321,93.0,,128,2,1.0000,0.1250
322,52.0,,128,0,1.0000,0.0000
323,52.0,,128,2,1.0000,0.1250
324,128.0,,128,4,1.0000,0.2500
325,128.0,,128,1,1.0000,0.0625
326,128.0,,128,2,1.0000,0.1250
327,18.0,,128,0,1.0000,0.0000
328,123.0,,128,2,1.0000,0.1250
329,123.0,,128,1,1.0000,0.0625
330,123.0,,128,4,1.0000,0.2500
331,46.0,,128,1,1.0000,0.0625
332,46.0,,128,4,1.0000,0.2500
333,46.0,,128,0,1.0000,0.0000
334,119.0,,128,4,1.0000,0.2500
335,119.0,,128,0,1.0000,0.0000
336,86.0,,128,2,1.0000,0.1250
337,120.0,,128,0,1.0000,0.0000
338,120.0,,128,4,1.0000,0.2500
339,69.0,,128,1,1.0000,0.0625
340,26.0,,128,2,1.0000,0.1250
341,26.0,,128,1,1.0000,0.0625
342,125.0,,128,0,1.0000,0.0000
343,58.0,,128,4,1.0000,0.2500
344,58.0,,128,4,1.0000,0.2500
345,126.0,,128,4,1.0000,0.2500
346,106.0,,128,4,1.0000,0.2500
347,106.0,,128,4,1.0000,0.2500
348,106.0,,128,2,1.0000,0.1250
349,112.0,,128,1,1.0000,0.0625
350,112.0,,128,2,1.0000,0.1250
351,116.0,,128,0,1.0000,0.0000
352,116.0,,128,1,1.0000,0.0625
353,128.0,,128,4,1.0000,0.2500
354,128.0,,128,4,1.0000,0.2500
355,90.0,,128,1,1.0000,0.0625
356,90.0,,128,2,1.0000,0.1250
357,85.0,,128,1,1.0000,0.0625
358,85.0,,128,4,1.0000,0.2500
359,105.0,,128,0,1.0000,0.0000
360,105.0,,128,2,1.0000,0.1250
361,105.0,,128,0,1.0000,0.0000
362,105.0,,128,4,1.0000,0.2500
363,70.0,,128,1,1.0000,0.0625
364,70.0,,128,4,1.0000,0.2500
365,70.0,,128,4,1.0000,0.2500
366,60.0,,128,1,1.0000,0.0625
367,60.0,,128,4,1.0000,0.2500
368,102.0,,128,0,1.0000,0.0000
369,102.0,,128,2,1.0000,0.1250
370,114.0,,128,4,1.0000,0.2500
371,101.0,,128,0,1.0000,0.0000
372,101.0,,128,1,1.0000,0.0625
373,73.0,,128,4,1.0000,0.2500
374,88.0,,128,1,1.0000,0.0625
375,88.0,,128,0,1.0000,0.0000
376,88.0,,128,1,1.0000,0.0625
377,81.0,,128,4,1.0000,0.2500
378,113.0,,128,0,1.0000,0.0000
379,113.0,,128,4,1.0000,0.2500
380,13.0,,128,2,1.0000,0.1250
381,104.0,,128,2,1.0000,0.1250
382,104.0,,128,2,1.0000,0.1250
383,75.0,,128,4,1.0000,0.2500
384,75.0,,128,4,1.0000,0.2500
385,95.0,,128,4,1.0000,0.2500
386,95.0,,128,2,1.0000,0.1250
387,53.0,,128,4,1.0000,0.2500
388,53.0,,128,4,1.0000,0.2500
389,125.0,,128,0,1.0000,0.0000
390,87.0,,128,2,1.0000,0.1250
391,128.0,,128,0,1.0000,0.0000
392,128.0,,128,2,1.0000,0.1250
393,52.0,,128,2,1.0000,0.1250
394,52.0,,128,4,1.0000,0.2500
395,123.0,,128,4,1.0000,0.2500
396,123.0,,128,4,1.0000,0.2500
397,99.0,,128,1,1.0000,0.0625
398,99.0,,128,0,1.0000,0.0000
399,9.0,,128,0,1.0000,0.0000
400,9.0,,128,2,1.0000,0.1250
401,83.0,,128,4,1.0000,0.2500
402,83.0,,128,4,1.0000,0.2500
403,28.0,,128,2,1.0000,0.1250
404,28.0,,128,0,1.0000,0.0000
405,28.0,,128,2,1.0000,0.1250
406,39.0,,128,0,1.0000,0.0000
407,60.0,,128,1,1.0000,0.0625
408,28.0,,128,1,1.0000,0.0625
409,28.0,,128,0,1.0000,0.0000
410,28.0,,128,0,1.0000,0.0000
411,28.0,,128,0,1.0000,0.0000
412,36.0,,128,2,1.0000,0.1250
413,107.0,,128,0,1.0000,0.0000
414,107.0,,128,1,1.0000,0.0625
415,58.0,,128,4,1.0000,0.2500
416,58.0,,128,2,1.0000,0.1250
417,21.0,,128,4,1.0000,0.2500
418,49.0,,128,0,1.0000,0.0000
419,6.0,,128,4,1.0000,0.2500
420,6.0,,128,4,1.0000,0.2500
421,39.0,,128,2,1.0000,0.1250
422,39.0,,128,2,1.0000,0.1250
423,39.0,,128,4,1.0000,0.2500
424,9.0,,128,4,1.0000,0.2500
425,9.0,,128,1,1.0000,0.0625
426,20.0,,128,0,1.0000,0.0000
427,20.0,,128,2,1.0000,0.1250
428,20.0,,128,4,1.0000,0.2500
429,94.0,,128,2,1.0000,0.1250
430,94.0,,128,4,1.0000,0.2500
431,81.0,,128,2,1.0000,0.1250
432,81.0,,128,0,1.0000,0.0000
433,102.0,,128,1,1.0000,0.0625
434,49.0,,128,1,1.0000,0.0625
435,49.0,,128,2,1.0000,0.1250
436,18.0,,128,4,1.0000,0.2500
437,18.0,,128,2,1.0000,0.1250
438,83.0,,128,0,1.0000,0.0000
439,83.0,,128,1,1.0000,0.0625
440,126.0,,128,2,1.0000,0.1250
441,36.0,,128,2,1.0000,0.1250
442,50.0,,128,1,1.0000,0.0625
443,50.0,,128,0,1.0000,0.0000
444,20.0,,128,1,1.0000,0.0625
445,8.0,,128,0,1.0000,0.0000
446,8.0,,128,4,1.0000,0.2500
447,8.0,,128,2,1.0000,0.1250
448,8.0,,128,2,1.0000,0.1250
449,8.0,,128,0,1.0000,0.0000
450,48.0,,128,1,1.0000,0.0625
451,43.0,,128,1,1.0000,0.0625
452,74.0,,128,2,1.0000,0.1250
453,74.0,,128,2,1.0000,0.1250
454,74.0,,128,1,1.0000,0.0625
455,127.0,,128,0,1.0000,0.0000
456,127.0,,128,1,1.0000,0.0625
457,127.0,,128,0,1.0000,0.0000
458,7.0,,128,1,1.0000,0.0625
459,7.0,,128,4,1.0000,0.2500
460,7.0,,128,4,1.0000,0.2500
461,34.0,,128,4,1.0000,0.2500
462,34.0,,128,1,1.0000,0.0625
463,34.0,,128,2,1.0000,0.1250
464,21.0,,128,4,1.0000,0.2500
465,21.0,,128,2,1.0000,0.1250
466,21.0,,128,0,1.0000,0.0000
467,21.0,,128,0,1.0000,0.0000
468,59.0,,128,4,1.0000,0.2500
469,62.0,,128,4,1.0000,0.2500
470,62.0,,128,0,1.0000,0.0000
471,81.0,,128,4,1.0000,0.2500
472,81.0,,128,0,1.0000,0.0000
473,104.0,,128,2,1.0000,0.1250
474,70.0,,128,0,1.0000,0.0000
475,70.0,,128,1,1.0000,0.0625
476,91.0,,128,1,1.0000,0.0625
477,91.0,,128,1,1.0000,0.0625
478,70.0,,128,1,1.0000,0.0625
479,83.0,,128,2,1.0000,0.1250
480,83.0,,128,2,1.0000,0.1250
481,83.0,,128,2,1.0000,0.1250
482,103.0,,128,0,1.0000,0.0000
483,103.0,,128,1,1.0000,0.0625
484,103.0,,128,1,1.0000,0.0625
485,36.0,,128,4,1.0000,0.2500
486,36.0,,128,4,1.0000,0.2500
487,36.0,,128,1,1.0000,0.0625
488,118.0,,128,4,1.0000,0.2500
489,75.0,,128,4,1.0000,0.2500
490,75.0,,128,4,1.0000,0.2500
491,28.0,,128,4,1.0000,0.2500
492,28.0,,128,4,1.0000,0.2500
493,119.0,,128,2,1.0000,0.1250
494,119.0,,128,4,1.0000,0.2500
495,121.0,,128,4,1.0000,0.2500
496,121.0,,128,1,1.0000,0.0625
497,45.0,,128,2,1.0000,0.1250
498,36.0,,128,0,1.0000,0.0000
499,36.0,,128,2,1.0000,0.1250
500,41.0,,128,1,1.0000,0.0625
501,41.0,,128,0,1.0000,0.0000
502,97.0,,128,2,1.0000,0.1250
503,97.0,,128,4,1.0000,0.2500
504,97.0,,128,4,1.0000,0.2500
505,97.0,,128,2,1.0000,0.1250
506,59.0,,128,0,1.0000,0.0000
507,59.0,,128,4,1.0000,0.2500
508,59.0,,128,0,1.0000,0.0000
509,88.0,,128,2,1.0000,0.1250
510,88.0,,128,4,1.0000,0.2500
511,106.0,,128,0,1.0000,0.0000
512,78.0,,128,2,1.0000,0.1250
513,106.0,,128,4,1.0000,0.2500
514,106.0,,128,2,1.0000,0.1250
515,106.0,,128,0,1.0000,0.0000
516,106.0,,128,0,1.0000,0.0000
517,22.0,,128,0,1.0000,0.0000
518,95.0,,128,0,1.0000,0.0000
519,95.0,,128,0,1.0000,0.0000
520,54.0,,128,1,1.0000,0.0625
521,63.0,,128,4,1.0000,0.2500
522,63.0,,128,1,1.0000,0.0625
523,125.0,,128,2,1.0000,0.1250
524,125.0,,128,1,1.0000,0.0625
525,125.0,,128,2,1.0000,0.1250
526,106.0,,128,2,1.0000,0.1250
527,106.0,,128,0,1.0000,0.0000
528,19.0,,128,1,1.0000,0.0625
529,19.0,,128,4,1.0000,0.2500
530,50.0,,128,0,1.0000,0.0000
531,91.0,,128,0,1.0000,0.0000
532,91.0,,128,0,1.0000,0.0000
533,116.0,,128,1,1.0000,0.0625
534,116.0,,128,4,1.0000,0.2500
535,32.0,,128,1,1.0000,0.0625
536,32.0,,128,4,1.0000,0.2500
537,33.0,,128,0,1.0000,0.0000
538,33.0,,128,4,1.0000,0.2500
539,33.0,,128,0,1.0000,0.0000
540,107.0,,128,1,1.0000,0.0625
541,107.0,,128,0,1.0000,0.0000
542,45.0,,128,1,1.0000,0.0625
543,35.0,,128,1,1.0000,0.0625
544,75.0,,128,2,1.0000,0.1250
545,75.0,,128,0,1.0000,0.0000
546,10.0,,128,4,1.0000,0.2500
547,10.0,,128,1,1.0000,0.0625
548,10.0,,128,4,1.0000,0.2500
549,94.0,,128,2,1.0000,0.1250
550,94.0,,128,1,1.0000,0.0625
551,37.0,,128,1,1.0000,0.0625
552,37.0,,128,1,1.0000,0.0625
553,122.0,,128,4,1.0000,0.2500
554,122.0,,128,0,1.0000,0.0000
555,39.0,,128,1,1.0000,0.0625
556,39.0,,128,1,1.0000,0.0625
557,89.0,,128,0,1.0000,0.0000
558,89.0,,128,1,1.0000,0.0625
